Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
Alpha_ID44_2nd,0.0111837072641047,0.014517434807289,0.00152540462023488,0.0265865550391993,0.025171337221544,0.00192307289417502,0.00338709023480881,0.0173448419879711,0,0,0.0492218209298299,0,0.153575724273428,0,0.00104438029709489,0.0108306199413406,0.00409216652945754,0,0.04676624354029,0,0,0.632829600419232,0,0.774161789694012,0.637492449411434
Alpha_ID44_3rd,0,0.0173041581176152,0.00514714826684702,0.0658081434555022,0.0354887481286222,0,0.00584139024166713,0.00298814796219975,0,0,0.062794132342382,0,0.0249014734069441,0,0,0.0430257474809296,0.00923188998751443,0,0.00772518639403937,0,0.043215067277791,0.676528766937946,0,0.782398792839842,0.628749946771533
Alpha_EK_ID45_1st,0.00658867509992273,0.0121873447996457,0.00165374418831509,0,0.0298743565962667,0.00875596256966765,0,0.0148655797665174,0,0,0.0285381914075489,0,0.182672448469057,0,0,0.0301689150828671,0,0.0138692173728938,0.0476352615683256,0,0,0.623190303078972,0,0.718088289140388,0.707428141769121
Alpha_EK_ID45_2nd,0.0107633740778183,0.0180249835156118,0.00595615826152321,0.0465518963517915,0.0338046090487713,0.0310617493912303,0.0553155610379101,0,0,0,0.0683832573990125,0.00285914132548624,0.13067919190235,0,0.000952373778079107,0.0344528556035157,0.00262777122387994,0,0.0540973064127169,0,0,0.504469770670303,0,0.732889608093551,0.681783079485317
Alpha_ID46_1st,0.0097414218420266,0.00504501675875038,0.00721215833859791,0,0.0295256186213599,0,0.0120386632929192,0,0,0,0.0640471005334182,0,0.0437444227119814,0,0,0,0,0.0113696345046927,0.00758980254659728,0,0,0.809686160849656,0,0.74318107700554,0.716194377784751
Alpha_ID46_2nd,0.0138850312779411,0.0150277719475298,0.000576653836146813,0.0622753809201433,0,0.0415203515919626,0.00813738248597216,0,0,0,0.0641923378184807,0.00238158864235556,0.00741046891660858,0,0,0,0,0.01371567783708,0.0418931156860953,0,0,0.728984239039684,0,0.7866179981913,0.628917482885919
Alpha_ID46_3rd,0.0643613366000567,0,0,0.234181797045196,0,0.0359995875040921,0.0310901717320077,0,0,0,0.107979905528635,0,0.133599553509719,0,0,0.0284501791447229,1.62753140564815e-05,0.00803074712219574,0,0.00817191570791066,0,0.348118530791408,0,0.498605247178385,0.870754216869884
Alpha_ID48_1st,0.0118635221035243,0.0102680716465062,0.00644423637960857,0.00842804554905672,0.0339053528615407,0,0.0339664911081506,0.0160616985386009,0,0,0.0472561112642224,0,0.0436703938130774,0,0,0,0,0.0161512017759414,0.0337694995298561,0,0,0.738215375429915,0,0.71379712198519,0.728515554284157
Alpha_ID48_2nd,0.00217463552201736,0.0130579955171052,0,0,0.0290218478611399,0,0.0105237091643009,0,0,0,0.0571245949759617,0,0.119696738838431,0,0,0,0,0,0.0097953219943081,0,0,0.758605156126736,0,0.754901203826959,0.690386435525079
Alpha_ID49_1st,0.117156710377963,0.187910498834973,0,0,0,0.0143602537915259,0.0283050230566755,0.00107623799735443,0.00495505137654061,0,0.0256326562715027,0,0.0269810291235436,0,0,0.0112882429011124,0,0.00246617459074593,0.0164265503505226,0,0,0.56344157132754,0,0.748728306388681,0.664240403738007
Alpha_ID49_2nd,0.116079061704531,0.158241034934926,0,0.0220964156705167,0,0.0154053311283771,0.04839823663159,0.0114338065624964,0,0,0.0278085520392503,0,0,0,0,0.0444488559005952,0,0.0116395392663983,0.029198578879584,0,0,0.515250587281735,0,0.694843106547189,0.719935415498784
Alpha_ID50_1st,0.03608435034979,0.0162477313014202,0,0,0.0244185675616898,0,0.0122099366714001,0.0259048641860791,0,0.0148459289176971,0.0449885223559838,0,0.00727263526860201,0,0.00116488805677482,0.0289085144122442,0.00370833096021198,0.0174521880501802,0.0442676191267563,0,0,0.72252592278117,0,0.732664037319012,0.698955079947621
Alpha_ID50_2nd,0.0229279302947656,0.0349752832805201,0,0.0500281786332636,0.0518603173815033,0,0.0412146387108508,0.00122200700639097,0,0,0.0624159215778485,0,0.0345092707671538,0,0,0.042968319710229,0.00113946309759455,0,0.0397085955560552,0,0,0.617030073983825,0,0.750793375916483,0.662409339397582
Alpha_EK_ID51_1st,0.0124238996311127,0.0147726383078458,0.00137566452290638,0,0.0249213029632327,0.00613277376391308,0.0329117611136858,0.00365864746507557,0,0,0.0444620134218231,0,0.00538177855585442,0,0,0.0249934287763821,0,0.0164936625238604,0.0297859478748795,0,0,0.782686481079428,0,0.702677446396242,0.754160139361391
Alpha_EK_ID51_2nd,0.0189879954292063,0,0.00317537649453796,0,0.0289262708312262,0,0.0167919872708632,0.0117506915312436,0,0.0118910418066416,0.0294005801090093,0,0,0,0,0,0,0.0150707976400656,0.0174170282352795,0,0,0.846588230651927,0,0.747683101153471,0.719187698551025
Alpha_EK_ID52_1st,0.00630479462031449,0.0251905405220212,0,0.0383258664687933,0.0172468964011097,0.0383267046512288,0,0,0,0,0.0190439007433606,0,0,0,0,0.0164682584348326,0,0.0156968189504351,0.0273233939121886,0,0,0.796072825295716,0,0.67729524337607,0.790211542819805
Alpha_EK_ID53_1st,0.00877871755775327,0.00912326841488816,0.00673930062401468,0,0.0382209220777739,0,0.0353492442440638,0.00287535842467683,0,0.00225830808756942,0.0416140006224371,0,0.0325537473213693,0,0,0.0195641666620121,0,0.0141865708045004,0.0316146371800712,0,0,0.75712175797887,0,0.670967658350231,0.785919908568998
Alpha_EK_ID53_3rd,0.0197324958107826,0.0127571392475552,0.00236912111458635,0.110321402884198,0,0.0352663878314804,0.0632070202376344,0.00170549146331453,0,0,0.0574483403309869,0,0,0,0,0.0409669135281609,0.00136177260396477,0.00255371522119098,0.0500031451540362,0,0.0412794536783866,0.561027600893723,0,0.656101978021319,0.75770601982633
Alpha_EK_ID54_1st,0.0444543407867464,0.0199820772830468,0.00109427675435152,0.0814397778096146,0,0.0402508012023053,0.0323918456660113,0,0,0,0.0655115108406489,0,0.0335314041463,0,0,0.0434211184241955,0.0016102862870615,0.0160149441557806,0.0231322823628878,0,0.0156802955633771,0.581485038717673,0,0.715831604053137,0.700149020599627
Alpha_EK_ID54_2nd,0.0433153981326133,0.0140829478185528,0,0.207708041111804,0,0.0341149056545731,0.0430046875425006,0,0,0,0.0960274618857759,0,0.0792325345004675,0,0,0.0155881582939048,0,0,0.0427844416344609,0,0.0258086486721358,0.398332774753211,0,0.687081656469671,0.732023816176981
Alpha_EK_ID54_3rd,0.0496760798265705,0.0195867633452787,0,0.182902939734191,0,0.125953051591222,0.0235684019236157,0.00615161200428424,0,0,0.0826883832881137,0,0.0612257341070153,0,0,0.00679468675520408,0,0.000416479250072206,0.0282857965800315,0,0.0226963178890198,0.39005375370538,0,0.639158725368635,0.770474210960804
Alpha_ID55_1st,0,0.0235306123243232,0.000842097588780193,0,0.0270482169984174,0.0162833855734359,0.0391810264260674,0,0,0.0135629160510167,0.0509210592837273,0,0.00383797506805512,0,0,0.00852824525424394,0,0.00562914675906,0.0269177591206905,0,0,0.783717559552182,0,0.756237606962327,0.684108403327697
Alpha_ID56_2nd,0.00716081881698231,0.00728848330250031,0.00826197812754358,0.0613495918723705,0.0457395749346668,0,0.0747766633067245,0.00206327122454506,0,0,0.0622096269602219,0,0.0741234944469044,0,0,0.0351086935968424,0,0,0.0471737670621685,0,0,0.57474403634853,0,0.761392517218601,0.649316445731415
Alpha_ID56_3rd,0.00734773201538398,0.0115424627816248,0.00166588397879925,0.0355203945206823,0.0462325982228963,0.0952363123983939,0.0237581442865693,0,0,0,0.0504287995485134,0,0.0573830936514366,0,0,0.0261436593675497,0,0.00570646573982123,0.0188953626102228,0,0,0.620139090878106,0,0.695757088908755,0.725432153262887
Alpha_EK_ID57_1st,0.0135145122641454,0,0.00354965186825549,0,0.0288130582737273,0,0.0111275677559326,0,0,0.0037408029917525,0.0369249489516712,0,0.104870147158793,0,0,0.0264996117676629,0,0.0132577335963533,0.024377556077518,0,0,0.733324409294188,0,0.727811702221907,0.716880933340065
Alpha_EK_ID58_1st,0.0101945681505175,0.0266093342079491,0,0.0014078875661092,0.0634426376841704,0.0775456168376235,0.0395083389447147,0,0,0,0.0925865384115532,0,0.00581604233330331,0,0,0.0278710830594247,0.000357307972267224,0.0112099003828539,0.0326325334030011,0,0.034542184600277,0.576276026446235,0,0.73419629668309,0.679940388627685
Alpha_EK_ID59_1st,0.0103783871191103,0.0253291314764211,0.00758825382457066,0,0.0499510173836675,0,0.000132670942453438,0.0069915142713055,0,0.00192403546175615,0.061671787737343,0,0.143650911259843,0,0,0.0188312802710742,0,0.0114373945443385,0.0197831176689878,0,0,0.642330498039129,0,0.663808299242904,0.770339343573185
Alpha_EK_ID59_2nd,0.023724416326508,0.00143366514624008,0.00186774147217085,0,0.043810504947805,0,0.0115347949697544,0.0100976591541044,0,0.000912242830575268,0.0504685811391122,0,0.0610223356983402,0,0,0.0268186358537518,0,0.0130492398921289,0.0279757335912792,0,0,0.72728444897823,0,0.592952942048909,0.8650575142297
Alpha_EK_ID59_3rd,0.00951595374568909,0.0236667254294082,0,0.0411390666066847,0.0202389194149851,0.0175929610046052,0.0321589927816027,0.00054135669581428,0,0,0.0731517402491818,0,0.0755246918772459,0,0,0.0361623049052038,0,0.0154991778568705,0,0,0,0.654808109432709,0,0.691790995210703,0.73733567602067
Alpha_EK_ID60_1st,0.0087731809310116,0.00612491174611311,0.00398723927508324,0.000539875766108557,0.029794381158192,0,0.0212323198479825,0.0139609518678522,0,0,0.0617301546019589,0,0.0459516927663376,0,0,0.00253379979975641,0,0.0140523321894127,0.0466630499594529,0,0,0.744656110090738,0,0.784898338776368,0.636217009826497
Alpha_EK_ID60_2nd,0.0360433151826174,0,0.00592070773392532,0,0.0507439572215377,0,0.00505158150358125,0.0203795522299255,0,0.000879063951669382,0.0501746874869067,0,0.0491492114530218,0,0,0,0,0.0166266821790441,0.0303947711480277,0,0,0.734636469909743,0,0.775397483688643,0.647705520179548
Alpha_ID61_2nd,0.0381591859685758,0.0397596410064111,0,0.0670022467020553,0.0588347494910976,0.0872014500703828,0.00753567618886463,0,0,0,0.0449099541455237,0,0,0,0,0.0490353820637177,0.00906820767509285,0,0.0406443029024717,0,0.01865167858701,0.539197525198797,0,0.744857613126162,0.670032241106835
Alpha_EK_ID62_1st,0.0216788405170547,0.00415696952212636,0.00117262944377453,0.0636250249241906,0.00663453976311912,0,0.0380638906309666,0.0247840433097861,0,0,0.0676647226034384,0,0.109065236565935,0,0.00036589436386068,0.0349746349989194,0,0,0.0432490926129927,0,0.00168705606337827,0.582877424680457,0,0.624769931468041,0.794270283725672
Alpha_EK_ID62_2nd,0.0306530735164737,0.0114275050296068,0,0.193831548077523,0,0.0381952859249499,0.0098846297381069,0,0,0,0.0979378322173787,0,0.0969881149774419,0,0,0.0407364832643541,0.000686367391054917,0,0,0,0.0800727097114019,0.399586450151708,0,0.699036165075476,0.72013298923184
Alpha_EK_ID62_3rd,0.0154140565135988,0.00649095638284632,0,0.0894783856059526,0.0281708581235559,0.00620706057714155,0.0253213664437308,0,0,0,0.0707953648496076,0,0.0750618308061787,0,0,0.00397472543817654,0,0.00572114255946698,0.0338702155276836,0,0.0307604214718251,0.608733615700236,0,0.721690234255081,0.696810600615385
