Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
BNT_Naive_10_Day35,0.00852631629232879,0.052741346420818,0,0.0456148228653619,0.053233297552442,0,0.0270450257569899,0.0030302548179533,0,0,0.071939879481658,0.014717483859949,0.0327637510223932,0,0,0.0436087455996576,0.00467527914316422,0,0.0325192763351902,0,0,0.609584520852094,0,0.793215911939443,0.611115110387779
BNT_Naive_10_Day41,0.0291848505475218,0.0351545204921821,0,0.0412683341000427,0.0536901638947207,0.0395932824087455,0.00129597729034833,0,0.0340413330742322,0,0.0187483435414808,0.0116996847875916,0,0,0,0.0253162581277352,0,0,0.0317992754026579,0,0,0.678207976332741,0,0.738869469357151,0.682332533888999
BNT_Naive_11_Day0,0.0170944445019494,0.0369322910642064,0,0.038814900413066,0.101864586547787,0.0778358551299601,0.0353164065631299,0,0,0,0.0277225810223501,0,0,0,0.00156996702642933,0.0388158552555644,0.00501235241527396,0,0.0363975729603718,0,0,0.582623187099912,0,0.775626104471189,0.633519675331134
BNT_Naive_11_Day11,0.00424148564783955,0.0217095583208409,0,0.0246252830793518,0.0721100092111261,0.137777377351731,0.0509973620744763,0,0,0,0.0917699223751738,0,0.0521356145480352,0,0,0,0,0,0.0174570352912698,0,0,0.527176352100156,0,0.740803004267027,0.673530689934626
BNT_Naive_11_Day34,0.0165732681408023,0.0319164425806025,0.00379193083173334,0.0426346744174561,0.0454277777733077,0,0.0358524595994517,0.0308478124709423,0,0.0010010186599635,0.0333364825584222,0.0116433105630951,0,0,0,0.041848242823261,0.00890284237140949,0,0.0468890629369614,0,0,0.649334674272591,0,0.806257922970166,0.593664752820166
BNT_Naive_11_Day35,0.0189771578220913,0.00859652462362603,0.00253032487689116,0.0185782947933824,0.0381855673725493,0,0.0217501277261336,0.029705094090657,0,0.00314530949368434,0.0511581617989603,0,0,0,0,0.0365858577685534,0.0053184229940471,0,0.044848386971961,0,0,0.720620769667463,0,0.818392440655731,0.580539967671023
BNT_Naive_11_Day41,0.0251432229144805,0.0342684518255253,0.00118959964139727,0.0708211535673938,0.0156040095805507,0.155681289359589,0.0319948167778411,0.00214988824653916,0,0,0.0309795268308488,0.00543678771606933,0,0,0.00283510627797936,0.0412873867285747,0.007637032192017,0,0.0440863659238819,0,0,0.530885362417312,0,0.483033693668873,0.898137520716772
BNT_Naive_12_Day0,0.0130289236103539,0.0204823357639902,0,0.0378922853628834,0.0467833345238339,0.18005603001291,0.0449635197447268,0,0,0,0.119504455003599,0,0.0338097047500178,0,0,0.00193111410522939,0,0,0.00418324829685429,0,0,0.497365048825602,0,0.764550821958903,0.651366933834029
BNT_Naive_12_Day10,0.0266794746207755,0.0324044388860961,0,0.108120710876965,0.0683091994881429,0.0868728240950705,0.0359810961306798,0,0,0,0.0438975681609264,0,0,0,0,0.0407164424245532,0.0057220246616864,0.000122915573154012,0.0216200936625102,0,0,0.52955321141944,0,0.770252895227949,0.644072566789318
BNT_Naive_12_Day34,0.00800351091885992,0.0229298099316604,0,0.0642458148601985,0.0305327851585021,0.0678225999849831,0.00467462109685173,0.00193969896332402,0.00607957614980762,0,0.13232560394512,0.00842337560572257,0.0875397769347316,0,0,0.00708775230628176,0,0,0.0306687629698869,0,0,0.52772631117407,0,0.800851763197094,0.606325699222711
BNT_Naive_12_Day35,0.0160726985079027,0.0233791403334286,0,0.0309990654191824,0.0156475696495499,0.0561207434489331,0.00697185915964664,0.00549777875905011,0.0037218215774815,0,0.0847991484395567,0.00615219078341439,0.0817257125602421,0,0,0.00996768343136811,0,0.000507273950716577,0.0348406056248941,0,0,0.623596708354633,0,0.817420991995334,0.578458706125305
BNT_Naive_12_Day41,0.0252640953427117,0.00684298090061629,0.0011598640943223,0.0462091399424848,0.0666954043180448,0.0601906530037006,0.0151177980398813,0.00202243232371192,0.000504539197723504,0,0.120292584774855,0,0.131804355251133,0,0,0.0117258551233449,0,0,0.0231158212807891,0,0,0.489054476406681,0,0.783807529046676,0.629009335181769
BNT_Naive_13_Day0,0.0231246149365795,0.0277424987347694,0,0.0300938431647323,0.0417807454344397,0.139184421873786,0.0172303297955327,0,0,0,0.0449489695468302,0,0,0,0,0.0393553613801781,0.00156568268489105,0,0.0330335074697444,0,0,0.601940024978517,0,0.759840997771254,0.651425490784301
BNT_Naive_13_Day10,0.0051114649575309,0.0253446458191555,0,0.0186979346638038,0.0589248472685875,0.0864395913083228,0.0274525758246695,0,0,0,0.104559102005234,0,0,0,0,0.00921770888912671,0,0,0.0283713515205027,0,0,0.635880777743067,0,0.781720398147411,0.625692263831084
BNT_Naive_13_Day35,0.0100238617372781,0.0200639322690568,0,0.0314515234712185,0,0.0185451536517146,0.0238891528895144,0,0,0,0.105459223920642,0,0.130344745250185,0,0,0.0133214130791743,0,0,0.0477003534079523,0,0,0.599200640323264,0,0.781801221012856,0.625154237708346
